x1,x2,x3,x4,x5,x6,x7,x8,y
0.521,219,0.5543 ,1110,0.5216,0.0366 ,0.0588 ,90,0.2471
0.541,223,0.5576 ,1362,0.5125,0.0393 ,0.0508 ,93,0.2687
0.559,226,0.5585 ,1885,0.5419,0.0428 ,0.0446 ,97,0.2868
0.576,227,0.5450 ,2542,0.5238,0.0455 ,0.0350 ,100,0.2952
0.596,227,0.5537 ,2656,0.5127,0.0489 ,0.0309 ,111,0.3169
0.613,228,0.5463 ,4018,0.5243,0.0518 ,0.0317 ,103,0.3514
0.628,228,0.5207 ,6682,0.5392,0.0535 ,0.0291 ,109,0.3645
0.643,228,0.5105 ,8653,0.5692,0.0554 ,0.0308 ,115,0.3732
0.657,228,0.5197 ,10176,0.5589,0.0581 ,0.0356 ,123,0.3747
0.671,229,0.5076 ,13695,0.6043,0.0520 ,0.0357 ,132,0.4118
0.684,230,0.4975 ,16043,0.6008,0.0527 ,0.0352 ,139,0.4142
0.697,232,0.5045 ,20493,0.5839,0.0543 ,0.0278 ,150,0.4438
0.709,236,0.4920 ,22172,0.6003,0.0571 ,0.0270 ,153,0.4726
0.721,241,0.4725 ,17364,0.6348,0.0595 ,0.0137 ,158,0.4905
0.732,245,0.4598 ,20484,0.6144,0.0614 ,0.0137 ,160,0.4897
0.743,248,0.4671 ,17312,0.5956,0.0636 ,0.0156 ,163,0.5351
0.752,250,0.4610 ,16320,0.6514,0.0651 ,0.0166 ,169,0.5511
0.76,251,0.4583 ,11689,0.6605,0.0654 ,0.0200 ,182,0.5382
0.356,637,0.5459 ,465,0.4557,0.0124 ,0.0156 ,22,0.2485
0.379,642,0.5528 ,663,0.596,0.0130 ,0.0177 ,24,0.2799
0.399,649,0.5435 ,644,0.6035,0.0137 ,0.0200 ,24,0.2866
0.417,655,0.5359 ,854,0.6171,0.0145 ,0.0076 ,25,0.3086
0.434,661,0.5194 ,1058,0.6974,0.0148 ,0.0065 ,26,0.3131
0.454,668,0.5160 ,1259,0.756,0.0157 ,0.0042 ,28,0.3348
0.471,677,0.5053 ,1654,0.7628,0.0165 ,0.0021 ,28,0.2997
0.486,679,0.4930 ,2046,0.7488,0.0174 ,0.0075 ,36,0.3404
0.501,685,0.4818 ,2626,0.7743,0.0183 ,0.0086 ,36,0.3559
0.515,674,0.4878 ,3806,0.8003,0.0191 ,0.0086 ,38,0.3573
0.529,671,0.4634 ,5524,0.8424,0.0200 ,0.0045 ,42,0.369
0.542,677,0.4360 ,9338,0.9235,0.0206 ,0.0033 ,43,0.3862
0.555,682,0.4318 ,10499,0.9804,0.0211 ,0.0046 ,48,0.3991
0.567,684,0.4368 ,12471,0.9767,0.0215 ,0.0061 ,50,0.4357
0.579,687,0.4214 ,9148,1.1591,0.0221 ,0.0080 ,52,0.4758
0.59,689,0.4103 ,14114,1.0682,0.0228 ,0.0033 ,52,1.5927
0.601,688,0.4189 ,10544,0.9881,0.0234 ,0.0050 ,54,0.4767
0.61,687,0.4207 ,7548,1.2406,0.0240 ,0.0053 ,56,0.5064
0.618,686,0.4131 ,4702,1.1486,0.0246 ,0.0043 ,60,0.5688
0.423,1023,0.5930 ,214,0.5435,0.0486 ,0.0694 ,26,0.1845
0.446,1044,0.6055 ,253,0.5239,0.0435 ,0.0632 ,28,0.2105
0.466,1074,0.6013 ,365,0.5129,0.0467 ,0.0724 ,28,0.2271
0.484,1084,0.5952 ,684,0.5391,0.0494 ,0.0524 ,29,0.2443
0.501,1103,0.5809 ,745,0.5767,0.0519 ,0.0487 ,30,0.2427
0.521,1151,0.5889 ,838,0.5954,0.0549 ,0.0478 ,31,0.2524
0.538,1185,0.5737 ,1059,0.5784,0.0576 ,0.0446 ,32,0.2793
0.553,1209,0.5566 ,1566,0.5524,0.0602 ,0.0429 ,34,0.276
0.568,1227,0.5588 ,2558,0.5862,0.0628 ,0.0478 ,37,0.2814
0.582,1243,0.5483 ,3396,0.5895,0.0704 ,0.0500 ,40,0.2819
0.596,1261,0.5327 ,5167,0.664,0.0749 ,0.0508 ,43,0.2979
0.609,1187,0.5345 ,7150,0.6567,0.0741 ,0.0474 ,45,0.2993
0.622,1214,0.5389 ,10375,0.643,0.0828 ,0.0466 ,48,0.2964
0.634,1239,0.5491 ,16598,0.6577,0.0852 ,0.0438 ,49,0.3497
0.646,1259,0.5358 ,9467,0.8112,0.0877 ,0.0532 ,49,0.3892
0.657,1277,0.5190 ,10246,0.71,0.0938 ,0.0333 ,50,0.3727
0.668,1302,0.5427 ,10365,0.7069,0.0961 ,0.0333 ,50,0.3962
0.677,1310,0.5419 ,9035,0.8036,0.0956 ,0.0327 ,51,0.4077
0.685,1318,0.5348 ,6037,0.75,0.0984 ,0.0299 ,52,0.4051
0.378,443,0.5495 ,149,1.1096,0.0200 ,0.0709 ,34,0.2594
0.401,443,0.5717 ,202,1.1234,0.0222 ,0.0699 ,35,0.2845
0.421,443,0.5715 ,268,1.1158,0.0232 ,0.0663 ,35,0.31
0.439,444,0.5729 ,525,1.2067,0.0252 ,0.0544 ,36,0.328
0.456,445,0.5845 ,761,1.3562,0.0269 ,0.0475 ,38,0.334
0.476,447,0.5758 ,984,1.3069,0.0281 ,0.0464 ,39,0.3646
0.493,449,0.5534 ,1531,1.2425,0.0302 ,0.0417 ,41,0.3678
0.508,449,0.5504 ,2075,1.209,0.0314 ,0.0411 ,43,0.3661
0.523,451,0.5412 ,3645,1.2777,0.0329 ,0.0384 ,46,0.3787
0.537,453,0.5426 ,5466,1.338,0.0347 ,0.0331 ,44,0.3849
0.551,453,0.5311 ,5804,1.4309,0.0357 ,0.0297 ,50,0.401
0.564,455,0.5229 ,6155,1.3667,0.0372 ,0.0293 ,48,0.3941
0.577,457,0.5218 ,10675,1.3689,0.0397 ,0.0283 ,59,0.3832
0.589,459,0.5177 ,15836,1.3847,0.0419 ,0.0309 ,63,0.4049
0.601,460,0.5123 ,6741,1.4771,0.0428 ,0.0426 ,68,0.4263
0.612,461,0.4991 ,9779,1.4394,0.0435 ,0.0264 ,69,0.4291
0.623,461,0.5091 ,5928,1.2684,0.0445 ,0.0233 ,75,0.4317
0.632,462,0.5065 ,7112,1.5542,0.0453 ,0.0287 ,75,0.4439
