x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
455,8.59,35.66%,112,38.30%,1490.3,15.65%,196.99%,2.1179%,2676.9,69.11 ,55.18%,800 ,1.5708 ,8710 ,2.596 
561,8.92,35.66%,114,39.25%,1308.6,16.97%,196.17%,1.9773%,2416.7,67.06 ,95.23%,691 ,1.5316 ,7967 ,2.516 
694,9.97,35.63%,117,40.35%,1162,20.93%,195.66%,2.2282%,2217.9,64.57 ,89.60%,476 ,1.5167 ,7782 ,2.525 
710,9.78,24.08%,120,41.46%,1051.3,21.60%,195.05%,2.0950%,2203.9,60.65 ,84.99%,459 ,1.4835 ,7368 ,2.618 
702,9.8,23.55%,123,42.75%,994.3,23.05%,192.54%,2.2659%,2067,59.49 ,80.30%,425 ,1.4531 ,7607 ,2.585 
738,9.31,23.45%,126,43.99%,843.8,24.03%,192.38%,2.0118%,1792.2,53.93 ,78.91%,393 ,1.3755 ,7411 ,2.539 
751,9.4,23.42%,129,45.18%,738.3,23.48%,214.54%,1.8980%,1648.58,49.18 ,74.01%,370 ,1.3305 ,7463 ,2.482 
767,9.85,23.30%,131,46.32%,646,22.51%,219.29%,1.7414%,1309.22,42.33 ,63.08%,344 ,1.3165 ,7628 ,2.390 
837,10.64,23.18%,136,48.01%,565.2,19.84%,223.14%,1.7437%,748.36,35.81 ,60.26%,306 ,1.3019 ,7791 ,2.185 
796,10.96,22.62%,140,49.96%,494.5,25.26%,231.83%,1.8885%,998.66,34.25 ,53.91%,253 ,1.2857 ,7583 ,2.268 
845,14.46,13.80%,64,34.68%,2765,18.50%,189.75%,1.3331%,4194,83.07 ,120.49%,1105 ,1.7785 ,10677 ,3.044 
860,14.75,13.57%,66,35.53%,2545,17.91%,194.69%,1.2505%,3809,79.11 ,115.70%,1017 ,1.7644 ,10558 ,2.976 
887,15.58,13.81%,67,36.13%,2338,18.04%,197.60%,1.1498%,3536,75.42 ,112.86%,909 ,1.7655 ,10297 ,2.897 
928,15.71,13.80%,69,37.36%,1820,17.67%,201.09%,1.9718%,2997,75.16 ,110.85%,835 ,1.7089 ,10091 ,2.870 
957,16.81,16.36%,75,38.24%,1154,14.94%,212.10%,1.7312%,3320,70.38 ,105.51%,731 ,1.5643 ,9872 ,2.629 
1016,17.41,16.48%,77,39.14%,1036,15.15%,212.01%,1.5967%,3113,70.68 ,114.94%,660 ,1.5026 ,9317 ,2.570 
1083,18.24,15.15%,79,40.14%,1241,16.93%,211.87%,1.6442%,2786,68.14 ,102.19%,693 ,1.4728 ,9263 ,2.565 
1203,21.23,15.18%,82,41.54%,1136,17.84%,211.53%,1.6774%,2668,63.79 ,90.40%,663 ,1.4090 ,9553 ,2.517 
1225,21.55,15.17%,84,42.85%,989,19.21%,209.97%,1.7465%,2481.62,61.21 ,88.70%,651 ,1.3810 ,10663 ,2.551 
1275,20.85,15.19%,86,44.05%,878,19.58%,211.40%,1.4265%,2238,58.67 ,93.61%,593 ,1.3209 ,10576 ,2.484 
1371,23.29,15.21%,88,45.25%,557,19.75%,218.26%,1.3220%,1168,55.63 ,96.94%,524 ,1.2854 ,10522 ,2.355 
1339,20.67,15.09%,90,46.41%,401,20.10%,233.35%,1.2870%,1076,48.56 ,78.93%,463 ,1.2542 ,9898 ,2.240 
1304,20.19,15.11%,93,48.10%,353,18.78%,233.19%,1.3010%,875,42.62 ,76.65%,397 ,1.2356 ,9296 ,2.129 
1311,20.73,15.12%,96,50.14%,308,19.12%,238.82%,1.4835%,562,38.89 ,69.59%,326 ,1.2160 ,8991 ,2.061 
413,3.19,49.13%,153,41.81%,2309,34.81%,174.30%,2.4255%,3776,51.96 ,92.11%,1426 ,1.7486 ,10086 ,3.177 
415,3.2,48.62%,157,42.88%,2189,34.39%,177.60%,2.4768%,3279,47.96 ,92.19%,1358 ,1.7249 ,9953 ,3.075 
420,3.23,48.74%,156,42.73%,2007,34.63%,180.27%,2.5381%,2999,46.47 ,89.84%,1308 ,1.7088 ,9587 ,3.052 
425,3.2,48.41%,166,44.48%,1609,34.23%,183.20%,5.0559%,2761,44.38 ,89.69%,1294 ,1.6771 ,9358 ,3.196 
434,3.28,47.94%,171,43.59%,1872,30.46%,190.07%,3.8514%,2609,39.34 ,86.18%,1121 ,1.7161 ,9228 ,2.973 
426,3.07,48.53%,176,44.19%,1733,30.79%,188.38%,3.6246%,2317,37.26 ,85.00%,951 ,1.6706 ,8661 ,2.862 
432,3.04,48.55%,182,45.30%,1539,34.11%,187.78%,3.8113%,2085,36.23 ,76.29%,659 ,1.6480 ,8404 ,2.718 
551,3.91,33.44%,191,46.90%,1470,37.57%,188.11%,3.6124%,1603,46.95 ,69.55%,618 ,1.6188 ,10148 ,2.859 
552,3.92,33.42%,198,48.76%,1327,37.02%,184.89%,3.7149%,1350,42.94 ,68.54%,592 ,1.5852 ,9947 ,2.903 
587,4.05,33.37%,207,50.51%,1224,39.20%,183.21%,3.2429%,1064,40.37 ,67.27%,547 ,1.4916 ,10002 ,2.799 
